id,block,model,method,trial_id,task_trial_id,luminance,pupilDiameter,pupil_lum_base,adj_pupil,total_time,target_source,creation_method,IPA,discomfort,seq
125,1,B,6DoF,3.0,3.0,0.2535947263240814,4.052145957946777,3.7526156902313232,0.2995304763317108,121.7982,2,unimanual,0.12317839680852985,2,2
125,1,C,4DoF,3.0,7.0,0.22482584416866302,4.150774002075195,3.829059600830078,0.3217141330242157,55.8057,1,bimanual,0.16140139450804855,1,0
125,1,C,6DoF,2.0,2.0,0.20605409145355225,4.277943134307861,3.870659112930298,0.4072844386100769,72.2416,2,unimanual,0.1523113243469652,3,1
125,1,D,4DoF,2.0,6.0,0.20116068422794342,4.222321033477783,3.8898723125457764,0.332448273897171,55.0398,1,bimanual,0.14540484343533483,0,0
125,1,D,6DoF,0.0,0.0,0.21529263257980347,4.267994403839111,3.843738317489624,0.424255907535553,114.8902,2,unimanual,0.11317466245656922,2,1
126,2,A,4DoF,0.0,0.0,0.23813854157924652,3.169914960861206,2.338660717010498,0.8312544226646423,88.5911,2,unimanual,0.15806938568591386,1,0
126,2,A,6DoF,2.0,6.0,0.19080372154712677,3.304265022277832,2.4327704906463623,0.8714947700500488,96.3982,1,bimanual,0.1763931949580599,3,2
126,2,B,4DoF,1.0,1.0,0.24799294769763947,3.0878822803497314,2.373462438583374,0.7144200801849365,112.1131,2,unimanual,0.18734777992880786,2,0
126,2,B,6DoF,0.0,4.0,0.2714059054851532,2.8654797077178955,2.318986415863037,0.5464932918548584,76.4192,1,bimanual,0.17016263621191793,3,2
126,2,C,4DoF,3.0,3.0,0.19457748532295227,3.5001142024993896,2.418257236480713,1.0818569660186768,105.5824,2,unimanual,0.1516836410141189,3,0
126,2,C,6DoF,1.0,5.0,0.18829332292079926,3.3702893257141113,2.4639077186584473,0.9063816666603088,83.9043,1,bimanual,0.1549794294611127,3,2
126,2,D,4DoF,2.0,2.0,0.21329356729984283,3.396280527114868,2.376110553741455,1.0201703310012817,117.2547,2,unimanual,0.15356907323623786,2,0
126,2,D,6DoF,3.0,7.0,0.17126114666461945,3.5647826194763184,2.4637715816497803,1.101011037826538,88.0018,1,bimanual,0.1477613585861284,4,1
127,3,A,4DoF,3.0,7.0,0.2281402200460434,3.4629149436950684,3.420362710952759,0.04255225509405136,37.6588,2,bimanual,0.2923487029019595,2,1
127,3,A,6DoF,2.0,2.0,0.2198811024427414,3.7703843116760254,3.432532548904419,0.33785170316696167,49.676,1,unimanual,0.14097782217460306,5,2
127,3,B,4DoF,2.0,6.0,0.225301593542099,3.5211122035980225,3.4456348419189453,0.0754774659872055,64.0798,2,bimanual,0.20294076783420054,3,1
127,3,B,6DoF,0.0,0.0,0.25370463728904724,3.9791152477264404,3.357501745223999,0.6216132044792175,43.5791,1,unimanual,0.2984697684563373,4,3
127,3,C,4DoF,0.0,4.0,0.21512269973754883,3.9690678119659424,3.439689874649048,0.5293781757354736,48.332999,2,bimanual,0.20699690953614064,3,1
